"Дата i час операції","Деталі операції","MCC","Сума в валюті картки (UAH)","Валюта","Сума комісій (UAH)","Сума кешбеку (UAH)"
"05.01.2026 08:42:11","КАВ'ЯРНЯ ЗРАЗОК","5814","-58,00","UAH","—","0,58"
"05.01.2026 12:30:45","СУПЕРМАРКЕТ ПРИКЛАД","5411","-412,30","UAH","—","4,12"
"06.01.2026 09:15:00","АПТЕКА ДЕМО","5912","-126,50","UAH","—","—"
"06.01.2026 18:05:22","ЗАПРАВКА ТЕСТ","5541","-1100,00","UAH","—","11,00"
"07.01.2026 10:00:00","Поповнення картки","4829","12500,00","UAH","—","—"
"07.01.2026 13:44:09","КНИГАРНЯ ВЗІРЕЦЬ","5942","-289,00","UAH","—","2,89"
"08.01.2026 07:58:31","ТРАНСПОРТ МІСТО","4111","-8,00","UAH","—","—"
"08.01.2026 19:21:00","РЕСТОРАН ШАБЛОН","5812","-746,80","UAH","—","7,47"
"09.01.2026 11:11:11","ЗНЯТТЯ ГОТІВКИ","6011","-2000,00","UAH","-10,00","—"
"10.01.2026 09:02:54","КІНОТЕАТР МАКЕТ","7832","-180,00","UAH","—","1,80"
"11.01.2026 16:40:00","ОДЯГ ПРИКЛАД","5651","-1359,99","UAH","—","13,60"
"12.01.2026 08:30:00","КАВ'ЯРНЯ ЗРАЗОК","5814","-62,00","UAH","—","0,62"
"12.01.2026 21:14:47","ТАКСІ ДЕМО","4121","-145,00","UAH","—","—"
"13.01.2026 10:25:33","ІНТЕРНЕТ-ПЛАТІЖ ТЕСТ","4814","-240,00","UAH","—","—"
"14.01.2026 12:00:00","Переказ від СІМ'Я ВЗІРЕЦЬ","4829","3000,00","UAH","—","—"
"15.01.2026 14:18:02","ЕЛЕКТРОНІКА МАКЕТ","5732","-4599,00","UAH","—","45,99"
"16.01.2026 08:47:20","СУПЕРМАРКЕТ ПРИКЛАД","5411","-368,75","UAH","—","3,69"
"17.01.2026 17:55:09","СПОРТЗАЛ ШАБЛОН","7997","-650,00","UAH","—","—"
"18.01.2026 09:33:00","ПЕКАРНЯ ДЕМО","5462","-94,50","UAH","—","0,95"
"19.01.2026 13:05:41","КОМУНАЛЬНІ ПОСЛУГИ ТЕСТ","4900","-1875,40","UAH","—","—"
"20.01.2026 10:10:10","ЗООМАГАЗИН ВЗІРЕЦЬ","5995","-322,00","UAH","—","3,22"
"21.01.2026 15:27:00","ПЕРЕКАЗ НА КАРТКУ","4829","-500,00","UAH","-5,00","—"
"22.01.2026 08:36:18","КАВ'ЯРНЯ ЗРАЗОК","5814","-55,00","UAH","—","0,55"
"23.01.2026 19:48:03","ПІЦЕРІЯ МАКЕТ","5812","-489,00","UAH","—","4,89"
"24.01.2026 11:59:59","КВИТКИ ЗАЛІЗНИЦЯ ДЕМО","4112","-420,00","UAH","—","—"
"25.01.2026 14:02:27","ГОТЕЛЬ ПРИКЛАД","7011","-2850,00","UAH","—","28,50"
"26.01.2026 09:09:09","МУЗЕЙ ШАБЛОН","8412","-100,00","UAH","—","—"
"27.01.2026 12:34:56","СУПЕРМАРКЕТ ПРИКЛАД","5411","-501,20","UAH","—","5,01"
"28.01.2026 10:00:00","Поповнення картки","4829","8000,00","UAH","—","—"
"29.01.2026 18:22:44","КВІТИ ВЗІРЕЦЬ","5992","-310,00","UAH","—","3,10"
"30.01.2026 08:15:30","КАВ'ЯРНЯ ЗРАЗОК","5814","-60,00","UAH","—","0,60"
